name,slug,category,city,area,publish_status,confidence_tier,source_url,join_link,source_label,price_type,beginner_friendly,solo_friendly,best_for,notes
"Fast and Free Running Club","fast-and-free-running-club","running","Singapore","Central Singapore","publish","publishable","https://www.fastandfree.sg/","https://www.fastandfree.sg/","Official website","free_paid","true","true","Runners who want a known local crew before showing up.","Public code seed."
"Running Department","running-department","running","Singapore","CBD / Central Singapore","publish","publishable","https://www.runningdepartment.com/","https://www.runningdepartment.com/","Official website","free","true","true","People who want a recognizable run crew with regular sessions.","Public code seed."
"Zephyr Running Club","zephyr-running-club","running","Singapore","Singapore","publish","publishable","https://www.zephyrrunningclub.com/","https://www.zephyrrunningclub.com/","Official website","free_paid","true","true","Runners looking for a structured local running community.","Public code seed."
"MR25","mr25","running","Singapore","MacRitchie","publish","publishable","https://mr25.org.sg/","https://mr25.org.sg/","Official website","membership","false","true","Runners who are comfortable with endurance or trail-oriented groups.","Public code seed."
"FitFam Singapore","fitfam-singapore","outdoor_fitness","Singapore","Singapore","publish","publishable","https://www.wefitfam.com/","https://www.wefitfam.com/","Official website","free_paid","true","true","People who want a low-pressure fitness crew instead of a studio class.","Public code seed."
"Punggol Fit Club","punggol-fit-club","outdoor_fitness","Singapore","Punggol","publish","publishable","https://www.punggolfitclub.com/","https://www.punggolfitclub.com/","Official website","free_paid","true","true","Punggol residents who want a nearby group to train with.","Public code seed."
"Yoga for a Change","yoga-for-a-change","yoga","Singapore","Singapore","publish","publishable","https://www.yogaforachange.com/","https://www.yogaforachange.com/","Official website","charity","true","true","People who want yoga with purpose and a softer social entry point.","Public code seed."
"Yoga Seeds","yoga-seeds","yoga","Singapore","Singapore","publish","publishable","https://www.yogaseeds.com.sg/","https://www.yogaseeds.com.sg/","Official website","paid","true","true","People who prefer yoga in calmer outdoor or nature-linked settings.","Public code seed."
"Meditate Singapore","meditate-singapore","meditation","Singapore","Singapore","publish","publishable","https://www.meditateinsingapore.org/","https://www.meditateinsingapore.org/","Official website","free_paid","true","true","People who want a calmer first step into wellness communities.","Public code seed."
"Singapore Pickleball Meetup Group","singapore-pickleball-meetup-group","pickleball","Singapore","Singapore","publish","publishable","https://www.meetup.com/find/?keywords=pickleball&location=sg--Singapore","https://www.meetup.com/find/?keywords=pickleball&location=sg--Singapore","Public Meetup search","free_paid","true","true","People who want a social racquet sport without needing a fixed partner.","Public code seed."
"Padel Singapore","padel-singapore","tennis","Singapore","Singapore","publish","publishable","https://padel.sg/","https://padel.sg/","Official website","paid","true","true","People who want a premium social sport with a clear booking path.","Public code seed."
"Play! Tennis","play-tennis","tennis","Singapore","Singapore","publish","publishable","https://playtennis.sg/","https://playtennis.sg/","Official website","paid","true","true","People who want a structured path into tennis without organizing a group themselves.","Public code seed."
